,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
246,BIIB,54.55,0.02,33,54.27,460,0,Drug Manufacturers - General,Healthcare,32.462,223.32,0.0,0.608,0.01
247,TPB,41.67,0.01,12,75.25,48,0,Tobacco,Consumer Defensive,0.399,22.68,0.0,0.159,0.0
248,BNL,0.0,-0.93,3,45.0,311,0,REIT - Diversified,Real Estate,2.912,14.79,-0.0,0.067,-0.0
249,RMR,55.56,-0.12,9,43.67,472,0,Real Estate Services,Real Estate,0.404,24.18,-0.001,0.206,-0.01
250,THS,70.83,-0.07,24,48.0,591,0,Packaged Foods,Consumer Defensive,1.986,36.71,-0.0,0.5,-0.02
251,RILY,46.67,-0.09,30,56.6,936,0,Financial Conglomerates,Financial Services,0.479,15.67,-0.0,0.53,-0.02
252,TR,40.0,-0.26,30,70.2,65,0,Confectioners,Consumer Defensive,1.265,31.56,-0.001,0.427,-0.04
253,MKTX,47.83,-0.2,23,46.09,83,0,Capital Markets,Financial Services,8.147,214.92,-0.001,0.499,-0.05
254,CHTR,33.33,-3.66,6,116.0,306,0,Telecom Services,Communication Services,43.483,299.42,-0.012,0.052,-0.06
255,CVRX,33.33,-2.79,6,75.0,204,0,Medical Devices,Healthcare,0.465,22.21,-0.009,0.08,-0.07
256,LBRDA,33.33,-4.93,6,111.5,305,0,Telecom Services,Communication Services,8.853,61.93,-0.016,0.054,-0.09
257,AAOI,53.33,-1.0,15,92.8,675,0,Communication Equipment,Technology,0.536,14.15,-0.005,0.162,-0.09
258,CCRN,66.67,-0.48,21,55.14,1200,0,Medical Care Facilities,Healthcare,0.585,17.0,-0.003,0.381,-0.12
259,CHWY,50.0,-1.74,6,39.0,61,0,Internet Retail,Consumer Cyclical,6.941,16.09,-0.009,0.154,-0.13
260,SMPL,33.33,-2.65,6,40.5,952,0,Packaged Foods,Consumer Defensive,3.552,35.59,-0.009,0.148,-0.13
261,HCAT,55.56,-2.5,9,81.67,31,0,Health Information Services,Healthcare,0.448,7.78,-0.014,0.11,-0.15
262,ACCD,33.33,-6.4,6,86.0,51,0,Health Information Services,Healthcare,0.791,10.22,-0.021,0.07,-0.15
263,ROKU,55.56,-2.9,9,93.67,68,0,Entertainment,Communication Services,9.254,64.48,-0.016,0.096,-0.15
264,LILA,44.44,-2.66,9,66.0,35,0,Telecom Services,Communication Services,1.237,5.98,-0.012,0.136,-0.16
265,BLKB,41.67,-1.77,12,55.5,1271,0,Software - Application,Technology,3.669,68.61,-0.007,0.216,-0.16
266,TGNA,80.56,-0.44,36,71.33,141,0,Broadcasting,Communication Services,2.797,14.2,-0.004,0.505,-0.18
267,OPEN,22.22,-7.58,9,85.0,56,0,Real Estate Services,Real Estate,1.951,2.87,-0.017,0.106,-0.18
268,KRNY,66.67,-1.02,12,43.0,170,0,Banks - Regional,Financial Services,0.419,6.51,-0.007,0.279,-0.19
269,FLGT,22.22,-9.04,9,93.0,55,0,Diagnostics & Research,Healthcare,0.713,24.06,-0.02,0.097,-0.19
270,FFIC,46.67,-1.45,15,53.0,178,0,Banks - Regional,Financial Services,0.373,12.92,-0.007,0.283,-0.19
271,IRDM,16.67,-7.2,12,72.5,36,0,Telecom Services,Communication Services,3.468,28.32,-0.012,0.166,-0.2
272,BSM,22.22,-4.52,9,41.67,941,0,Oil & Gas E&P,Energy,3.239,15.4,-0.01,0.216,-0.22
273,BLND,50.0,-2.0,12,55.5,178,0,Software - Application,Technology,0.553,2.23,-0.01,0.216,-0.22
274,LILAK,25.0,-4.55,12,59.08,35,0,Telecom Services,Communication Services,1.243,6.06,-0.011,0.203,-0.23
275,LAW,33.33,-8.76,6,72.5,48,0,Software - Application,Technology,0.425,7.01,-0.029,0.083,-0.24
276,VICR,52.08,-0.62,48,62.27,36,0,Electronic Components,Technology,1.586,35.67,-0.003,0.771,-0.25
277,ROG,57.14,-0.37,70,54.34,54,0,Electronic Components,Technology,2.08,111.72,-0.002,1.288,-0.27
278,PGC,45.83,-1.89,24,63.0,171,0,Banks - Regional,Financial Services,0.411,23.15,-0.009,0.381,-0.33
279,SHBI,33.33,-7.93,9,72.0,167,0,Banks - Regional,Financial Services,0.376,11.35,-0.026,0.125,-0.33
280,ATUS,25.0,-11.36,12,89.25,143,0,Telecom Services,Communication Services,0.834,1.83,-0.028,0.134,-0.38
281,EXPI,41.67,-5.38,12,68.5,47,0,Real Estate Services,Real Estate,1.682,10.9,-0.022,0.175,-0.39
282,BAND,53.33,-4.47,15,91.8,64,0,Software - Infrastructure,Technology,0.308,12.02,-0.024,0.163,-0.39
283,OLPX,44.44,-6.65,9,67.33,56,0,Specialty Retail,Consumer Cyclical,1.283,1.96,-0.03,0.134,-0.4
284,CRNC,22.22,-18.02,9,88.0,30,0,Software - Application,Technology,0.59,14.15,-0.04,0.102,-0.41
285,AMN,53.33,-1.69,30,63.3,28,0,Medical Care Facilities,Healthcare,2.073,54.85,-0.009,0.474,-0.43
286,CEIX,22.22,-18.24,9,79.67,950,0,Thermal Coal,Energy,2.387,80.62,-0.041,0.113,-0.46
287,WBD,33.33,-4.65,21,65.29,390,0,Entertainment,Communication Services,20.996,8.61,-0.015,0.322,-0.5
288,PTON,33.33,-31.63,6,122.0,50,0,Leisure,Consumer Cyclical,1.596,4.35,-0.105,0.049,-0.52
289,HAFC,33.33,-4.09,24,52.21,170,0,Banks - Regional,Financial Services,0.461,15.19,-0.014,0.46,-0.63
290,BHLB,41.67,-10.02,12,77.5,171,0,Banks - Regional,Financial Services,0.959,22.04,-0.042,0.155,-0.65
291,SBCF,36.67,-3.91,30,62.4,953,0,Banks - Regional,Financial Services,2.034,23.97,-0.014,0.481,-0.69
292,CYH,41.67,-5.06,24,72.5,56,0,Medical Care Facilities,Healthcare,0.401,2.93,-0.021,0.331,-0.7
293,TTWO,45.83,-4.12,24,55.0,416,0,Electronic Gaming & Multimedia,Communication Services,25.76,151.01,-0.019,0.436,-0.82
294,ARLP,55.56,-6.57,18,56.17,927,0,Thermal Coal,Energy,2.415,19.0,-0.037,0.32,-1.17
295,OIS,25.0,-10.53,24,53.12,371,0,Oil & Gas Equipment & Services,Energy,0.353,5.55,-0.026,0.452,-1.19
296,ATSG,37.5,-10.64,24,77.5,166,0,Airlines,Industrials,0.91,13.94,-0.04,0.31,-1.24
297,GPRO,61.11,-7.78,18,64.67,54,0,Consumer Electronics,Technology,0.333,2.22,-0.048,0.278,-1.32
298,BDN,35.09,-5.49,57,60.05,169,0,REIT - Office,Real Estate,0.711,4.12,-0.019,0.949,-1.83
299,STCN,50.98,-6.12,51,71.53,155,0,Advertising Agencies,Communication Services,0.047,7.55,-0.031,0.713,-2.22
300,MODV,55.56,-13.22,18,54.17,148,0,Medical Care Facilities,Healthcare,0.378,26.62,-0.073,0.332,-2.44
301,FCEL,41.67,-9.96,48,74.25,40,0,Electrical Equipment & Parts,Industrials,0.514,1.14,-0.042,0.646,-2.68
